"year","week","name","value","week_abs"
2019,42,"RANDWICK",347,11
2019,42,"RICHMOND",357,11
2019,42,"SINGLETON",452,11
2019,42,"STOCKTON",595,11
2019,42,"TAMWORTH",605,11
2019,42,"WARKWORTH",504,11
2019,42,"WOLLONGONG",236,11
2019,42,"WYBONG",435,11
2019,42,"WYONG",309,11
2019,43,"ABERDEEN",681,12
2019,43,"ALBURY",345,12
2019,43,"ARMIDALE",967,12
2019,43,"BARGO",592,12
2019,43,"BATHURST",672,12
2019,43,"BERESFIELD",535,12
2019,43,"BRINGELLY",486,12
2019,43,"BULGA",615,12
2019,43,"CAMBERWELL",944,12
2019,43,"CAMDEN",301,12
2019,43,"CARRINGTON",585,12
2019,43,"CHULLORA",460,12
2019,43,"EARLWOOD",417,12
2019,43,"GOULBURN",-7,12
2019,43,"GUNNEDAH",455,12
2019,43,"LIVERPOOL",443,12
2019,43,"NARRABRI",681,12
2019,43,"NEWCASTLE",573,12
2019,43,"OAKDALE",572,12
2019,43,"ORANGE",578,12
2019,43,"PROSPECT",502,12
2019,43,"RANDWICK",455,12
2019,43,"RICHMOND",534,12
2019,43,"SINGLETON",745,12
2019,43,"STOCKTON",564,12
2019,43,"TAMWORTH",1247,12
2019,43,"WARKWORTH",772,12
2019,43,"WOLLONGONG",394,12
2019,43,"WYBONG",622,12
2019,43,"WYONG",436,12
2019,44,"ABERDEEN",641,13
2019,44,"ALBURY",417,13
2019,44,"ARMIDALE",824,13
2019,44,"BARGO",750,13
2019,44,"BATHURST",614,13
2019,44,"BERESFIELD",1761,13
2019,44,"BRINGELLY",1004,13
2019,44,"BULGA",825,13
2019,44,"CAMBERWELL",915,13
2019,44,"CAMDEN",841,13
2019,44,"CARRINGTON",1146,13
2019,44,"CHULLORA",1098,13
2019,44,"EARLWOOD",1078,13
2019,44,"GOULBURN",-7,13
2019,44,"GUNNEDAH",452,13
2019,44,"LIVERPOOL",938,13
2019,44,"NARRABRI",469,13
2019,44,"NEWCASTLE",1181,13
2019,44,"OAKDALE",736,13
2019,44,"ORANGE",787,13
2019,44,"PROSPECT",1150,13
2019,44,"RANDWICK",1110,13
2019,44,"RICHMOND",909,13
2019,44,"SINGLETON",956,13
2019,44,"STOCKTON",1387,13
2019,44,"TAMWORTH",723,13
2019,44,"WARKWORTH",903,13
2019,44,"WOLLONGONG",795,13
2019,44,"WYBONG",564,13
2019,44,"WYONG",1230,13
2019,45,"ABERDEEN",465,14
2019,45,"ALBURY",168,14
2019,45,"ARMIDALE",3203,14
2019,45,"BARGO",352,14
2019,45,"BATHURST",242,14
2019,45,"BERESFIELD",788,14
2019,45,"BRINGELLY",357,14
2019,45,"BULGA",433,14
2019,45,"CAMBERWELL",798,14
2019,45,"CAMDEN",355,14
2019,45,"CARRINGTON",627,14
2019,45,"CHULLORA",612,14
2019,45,"EARLWOOD",613,14
2019,45,"GOULBURN",265,14
2019,45,"GUNNEDAH",545,14
2019,45,"LIVERPOOL",351,14
2019,45,"NARRABRI",724,14
2019,45,"NEWCASTLE",587,14
2019,45,"OAKDALE",347,14
2019,45,"ORANGE",213,14
2019,45,"PROSPECT",558,14
2019,45,"RANDWICK",437,14
2019,45,"RICHMOND",468,14
2019,45,"SINGLETON",596,14
2019,45,"STOCKTON",801,14
2019,45,"TAMWORTH",611,14
2019,45,"WARKWORTH",486,14
2019,45,"WOLLONGONG",310,14
2019,45,"WYBONG",451,14
2019,45,"WYONG",982,14
2019,46,"ABERDEEN",701,15
2019,46,"ALBURY",252,15
2019,46,"ARMIDALE",2683,15
2019,46,"BARGO",689,15
2019,46,"BATHURST",610,15
2019,46,"BERESFIELD",1156,15
2019,46,"BRINGELLY",1091,15
2019,46,"BULGA",800,15
2019,46,"CAMBERWELL",1103,15
2019,46,"CAMDEN",1017,15
2019,46,"CARRINGTON",734,15
2019,46,"CHULLORA",785,15
2019,46,"EARLWOOD",681,15
2019,46,"GOULBURN",358,15
2019,46,"GUNNEDAH",743,15
2019,46,"LIVERPOOL",752,15
2019,46,"NARRABRI",839,15
2019,46,"NEWCASTLE",722,15
2019,46,"OAKDALE",899,15
2019,46,"ORANGE",712,15
2019,46,"PROSPECT",1019,15
2019,46,"RANDWICK",621,15
2019,46,"RICHMOND",1755,15
2019,46,"SINGLETON",896,15
2019,46,"STOCKTON",950,15
2019,46,"TAMWORTH",1447,15
2019,46,"WARKWORTH",776,15
2019,46,"WOLLONGONG",499,15
2019,46,"WYBONG",637,15
2019,46,"WYONG",720,15
2019,47,"ABERDEEN",871,16
2019,47,"ALBURY",637,16
2019,47,"ARMIDALE",6199,16
2019,47,"BARGO",888,16
2019,47,"BATHURST",1185,16
2019,47,"BERESFIELD",941,16
2019,47,"BRINGELLY",1593,16
2019,47,"BULGA",829,16
2019,47,"CAMBERWELL",1077,16
2019,47,"CAMDEN",1352,16
2019,47,"CARRINGTON",756,16
2019,47,"CHULLORA",2635,16
2019,47,"EARLWOOD",1443,16
2019,47,"GOULBURN",1276,16
2019,47,"GUNNEDAH",1023,16
2019,47,"LIVERPOOL",750,16
2019,47,"NARRABRI",1096,16
2019,47,"NEWCASTLE",772,16
2019,47,"OAKDALE",1579,16
2019,47,"ORANGE",2949,16
2019,47,"PROSPECT",4826,16
2019,47,"RANDWICK",1383,16
2019,47,"RICHMOND",2877,16
2019,47,"SINGLETON",872,16
2019,47,"STOCKTON",879,16
2019,47,"TAMWORTH",1366,16
2019,47,"WARKWORTH",850,16
2019,47,"WOLLONGONG",594,16
2019,47,"WYBONG",895,16
2019,47,"WYONG",1404,16
2019,48,"ABERDEEN",1393,17
2019,48,"ALBURY",267,17
2019,48,"ARMIDALE",1785,17
2019,48,"BARGO",1170,17
2019,48,"BATHURST",1129,17
2019,48,"BERESFIELD",1088,17
2019,48,"BRINGELLY",1327,17
2019,48,"BULGA",1398,17
2019,48,"CAMBERWELL",2010,17
2019,48,"CAMDEN",1553,17
2019,48,"CARRINGTON",1015,17
2019,48,"CHULLORA",1482,17
2019,48,"EARLWOOD",1497,17
2019,48,"GOULBURN",1413,17
2019,48,"GUNNEDAH",1362,17
2019,48,"LIVERPOOL",1081,17
2019,48,"NARRABRI",1423,17
2019,48,"NEWCASTLE",1011,17
2019,48,"OAKDALE",2308,17
2019,48,"ORANGE",1095,17
2019,48,"PROSPECT",992,17
2019,48,"RANDWICK",1198,17
2019,48,"RICHMOND",1174,17
2019,48,"SINGLETON",1464,17
2019,48,"STOCKTON",1279,17
2019,48,"TAMWORTH",1845,17
2019,48,"WARKWORTH",1435,17
2019,48,"WOLLONGONG",679,17
2019,48,"WYBONG",1499,17
2019,48,"WYONG",966,17
2019,49,"ABERDEEN",869,18
2019,49,"ALBURY",298,18
2019,49,"ARMIDALE",5210,18
2019,49,"BARGO",917,18
2019,49,"BATHURST",1496,18
2019,49,"BERESFIELD",1645,18
2019,49,"BRINGELLY",3874,18
2019,49,"BULGA",665,18
2019,49,"CAMBERWELL",1410,18
2019,49,"CAMDEN",3103,18
2019,49,"CARRINGTON",1108,18
2019,49,"CHULLORA",2489,18
2019,49,"EARLWOOD",2356,18
2019,49,"GOULBURN",2459,18
2019,49,"GUNNEDAH",1039,18
2019,49,"LIVERPOOL",1920,18
2019,49,"NARRABRI",679,18
2019,49,"NEWCASTLE",1202,18
2019,49,"OAKDALE",2467,18
2019,49,"ORANGE",2598,18
2019,49,"PROSPECT",2115,18
2019,49,"RANDWICK",1948,18
2019,49,"RICHMOND",2800,18
2019,49,"SINGLETON",1141,18
2019,49,"STOCKTON",1258,18
2019,49,"TAMWORTH",1617,18
2019,49,"WARKWORTH",588,18
2019,49,"WOLLONGONG",540,18
2019,49,"WYBONG",974,18
2019,49,"WYONG",2310,18
2019,50,"ABERDEEN",854,19
2019,50,"ALBURY",445,19
2019,50,"ARMIDALE",2254,19
2019,50,"BARGO",3411,19
2019,50,"BATHURST",1759,19
2019,50,"BERESFIELD",934,19
2019,50,"BRINGELLY",2512,19
2019,50,"BULGA",1475,19
2019,50,"CAMBERWELL",1065,19
2019,50,"CAMDEN",2056,19
2019,50,"CARRINGTON",634,19
2019,50,"CHULLORA",2808,19
2019,50,"EARLWOOD",1886,19
2019,50,"GOULBURN",2693,19
2019,50,"GUNNEDAH",680,19
2019,50,"LIVERPOOL",805,19
2019,50,"NARRABRI",511,19
2019,50,"NEWCASTLE",635,19
2019,50,"OAKDALE",5691,19
2019,50,"ORANGE",2734,19
2019,50,"PROSPECT",3203,19
2019,50,"RANDWICK",2548,19
2019,50,"RICHMOND",3454,19
2019,50,"SINGLETON",999,19
2019,50,"STOCKTON",717,19
2019,50,"TAMWORTH",997,19
2019,50,"WARKWORTH",1353,19
2019,50,"WOLLONGONG",547,19
2019,50,"WYBONG",1176,19
2019,50,"WYONG",1461,19
2019,51,"ABERDEEN",822,20
2019,51,"ALBURY",1580,20
2019,51,"ARMIDALE",4867,20
2019,51,"BARGO",5404,20
2019,51,"BATHURST",2350,20
2019,51,"BERESFIELD",844,20
2019,51,"BRINGELLY",1196,20
2019,51,"BULGA",934,20
2019,51,"CAMBERWELL",802,20
2019,51,"CAMDEN",2039,20
2019,51,"CARRINGTON",641,20
2019,51,"CHULLORA",884,20
2019,51,"EARLWOOD",836,20
2019,51,"GOULBURN",8692,20
2019,51,"GUNNEDAH",1449,20
2019,51,"LIVERPOOL",673,20
2019,51,"NARRABRI",1033,20
2019,51,"NEWCASTLE",574,20
2019,51,"OAKDALE",7595,20
2019,51,"ORANGE",7943,20
2019,51,"PROSPECT",1705,20
2019,51,"RANDWICK",862,20
2019,51,"RICHMOND",1388,20
2019,51,"SINGLETON",455,20
2019,51,"STOCKTON",895,20
2019,51,"TAMWORTH",2363,20
2019,51,"WARKWORTH",1215,20
2019,51,"WOLLONGONG",741,20
2019,51,"WYBONG",1002,20
2019,51,"WYONG",1057,20
2019,52,"ABERDEEN",567,21
2019,52,"ALBURY",1945,21
2019,52,"ARMIDALE",395,21
2019,52,"BARGO",4292,21
2019,52,"BATHURST",1832,21
2019,52,"BERESFIELD",590,21
2019,52,"BRINGELLY",885,21
2019,52,"BULGA",838,21
2019,52,"CAMBERWELL",532,21
2019,52,"CAMDEN",1232,21
2019,52,"CARRINGTON",496,21
2019,52,"CHULLORA",447,21
2019,52,"EARLWOOD",409,21
2019,52,"GOULBURN",6646,21
2019,52,"GUNNEDAH",579,21
2019,52,"LIVERPOOL",404,21
2019,52,"NARRABRI",438,21
2019,52,"NEWCASTLE",430,21
2019,52,"OAKDALE",3538,21
2019,52,"ORANGE",2322,21
2019,52,"PROSPECT",661,21
2019,52,"RANDWICK",418,21
2019,52,"RICHMOND",1725,21
2019,52,"SINGLETON",560,21
2019,52,"STOCKTON",739,21
2019,52,"TAMWORTH",594,21
2019,52,"WARKWORTH",788,21
2019,52,"WOLLONGONG",532,21
2019,52,"WYBONG",657,21
2019,52,"WYONG",380,21
2019,53,"ABERDEEN",125,22
2019,53,"ALBURY",42,22
2019,53,"ARMIDALE",67,22
2019,53,"BARGO",2549,22
2019,53,"BATHURST",244,22
2019,53,"BERESFIELD",127,22
2019,53,"BRINGELLY",198,22
2019,53,"BULGA",137,22
2019,53,"CAMBERWELL",208,22
2019,53,"CAMDEN",306,22
2019,53,"CARRINGTON",175,22
2019,53,"CHULLORA",238,22
2019,53,"EARLWOOD",132,22
2019,53,"GOULBURN",5004,22
2019,53,"GUNNEDAH",62,22
2019,53,"LIVERPOOL",249,22
2019,53,"NARRABRI",42,22
2019,53,"NEWCASTLE",154,22
2019,53,"OAKDALE",881,22
2019,53,"ORANGE",203,22
2019,53,"PROSPECT",316,22
2019,53,"RANDWICK",153,22
2019,53,"RICHMOND",471,22
2019,53,"SINGLETON",138,22
2019,53,"STOCKTON",246,22
2019,53,"TAMWORTH",81,22
2019,53,"WARKWORTH",201,22
2019,53,"WOLLONGONG",172,22
2019,53,"WYBONG",119,22
2019,53,"WYONG",231,22
2020,1,"ABERDEEN",842,23
