"week","name","state","DOY","value"
6,"X20142015","Victoria",273,4.6
6,"X20152016","New South Wales",273,152
6,"X20152016","Queensland",273,996
6,"X20152016","Victoria",273,1.6
6,"X20162017","New South Wales",273,80.1
6,"X20162017","Queensland",273,759
6,"X20162017","Victoria",273,3.5
6,"X20172018","New South Wales",273,375
6,"X20172018","Queensland",273,561
6,"X20172018","Victoria",273,4.5
6,"X20182019","New South Wales",273,419
6,"X20182019","Queensland",273,657
6,"X20182019","Victoria",273,10.2
6,"X20192020","New South Wales",273,750
6,"X20192020","Queensland",273,596
6,"X20192020","Victoria",273,1.6
7,"X20022003","New South Wales",322,523
7,"X20022003","Queensland",322,754
7,"X20022003","Victoria",322,8.4
7,"X20032004","New South Wales",322,76
7,"X20032004","Queensland",322,665
7,"X20032004","Victoria",322,0.7
7,"X20042005","New South Wales",322,292
7,"X20042005","Queensland",322,1359
7,"X20042005","Victoria",322,11.3
7,"X20052006","New South Wales",322,299
7,"X20052006","Queensland",322,760
7,"X20052006","Victoria",322,13.3
7,"X20062007","New South Wales",322,446
7,"X20062007","Queensland",322,1511
7,"X20062007","Victoria",322,22.3
7,"X20072008","New South Wales",322,247
7,"X20072008","Queensland",322,658
7,"X20072008","Victoria",322,1.6
7,"X20082009","New South Wales",322,260
7,"X20082009","Queensland",322,1147
7,"X20082009","Victoria",322,1.6
7,"X20092010","New South Wales",322,408
7,"X20092010","Queensland",322,2499
7,"X20092010","Victoria",322,5.4
7,"X20102011","New South Wales",322,114.1
7,"X20102011","Queensland",322,1524
7,"X20102011","Victoria",322,0.7
7,"X20112012","New South Wales",322,92.1
7,"X20112012","Queensland",322,2017
7,"X20112012","Victoria",322,3.6
7,"X20122013","New South Wales",322,246
7,"X20122013","Queensland",322,2336
7,"X20122013","Victoria",322,3.5
7,"X20132014","New South Wales",322,316
7,"X20132014","Queensland",322,857
7,"X20132014","Victoria",322,12.3
7,"X20142015","New South Wales",322,250.1
7,"X20142015","Queensland",322,632
7,"X20142015","Victoria",322,9.4
7,"X20152016","New South Wales",322,272
7,"X20152016","Queensland",322,850
7,"X20152016","Victoria",322,2.6
7,"X20162017","New South Wales",322,204
7,"X20162017","Queensland",322,631
7,"X20162017","Victoria",322,26.2
7,"X20172018","New South Wales",322,699
7,"X20172018","Queensland",322,1007
7,"X20172018","Victoria",322,26.5
7,"X20182019","New South Wales",322,850
7,"X20182019","Queensland",322,954
7,"X20182019","Victoria",322,7.3
7,"X20192020","New South Wales",322,508
7,"X20192020","Queensland",322,887
7,"X20192020","Victoria",322,2.6
