"DOY","State","name","value"
31,"New South Wales","X20192020",45
32,"New South Wales","X20022003",20
32,"New South Wales","X20032004",48
32,"New South Wales","X20042005",29
32,"New South Wales","X20052006",73
32,"New South Wales","X20062007",22
32,"New South Wales","X20072008",25
32,"New South Wales","X20082009",30
32,"New South Wales","X20092010",31
32,"New South Wales","X20102011",6
32,"New South Wales","X20112012",50
32,"New South Wales","X20122013",44
32,"New South Wales","X20132014",16
32,"New South Wales","X20142015",218
32,"New South Wales","X20152016",16
32,"New South Wales","X20162017",22
32,"New South Wales","X20172018",55
32,"New South Wales","X20182019",83
32,"New South Wales","X20192020",28
33,"New South Wales","X20022003",1
33,"New South Wales","X20032004",25
33,"New South Wales","X20042005",7
33,"New South Wales","X20052006",46
33,"New South Wales","X20062007",8
33,"New South Wales","X20072008",64
33,"New South Wales","X20082009",4
33,"New South Wales","X20092010",12
33,"New South Wales","X20102011",4
33,"New South Wales","X20112012",63
33,"New South Wales","X20122013",18
33,"New South Wales","X20132014",17
33,"New South Wales","X20142015",107
33,"New South Wales","X20152016",22
33,"New South Wales","X20162017",94
33,"New South Wales","X20172018",87
33,"New South Wales","X20182019",59
33,"New South Wales","X20192020",48
34,"New South Wales","X20022003",10
34,"New South Wales","X20032004",74
34,"New South Wales","X20042005",25
34,"New South Wales","X20052006",50
34,"New South Wales","X20062007",22
34,"New South Wales","X20072008",16
34,"New South Wales","X20082009",7
34,"New South Wales","X20092010",59
34,"New South Wales","X20102011",9
34,"New South Wales","X20112012",94
34,"New South Wales","X20122013",53
34,"New South Wales","X20132014",13
34,"New South Wales","X20142015",42
34,"New South Wales","X20152016",18
34,"New South Wales","X20162017",13
34,"New South Wales","X20172018",10
34,"New South Wales","X20182019",56
34,"New South Wales","X20192020",44
35,"New South Wales","X20022003",16
35,"New South Wales","X20032004",79
35,"New South Wales","X20042005",32
35,"New South Wales","X20052006",3
35,"New South Wales","X20062007",15
35,"New South Wales","X20072008",58
35,"New South Wales","X20082009",9
35,"New South Wales","X20092010",12
35,"New South Wales","X20102011",16
35,"New South Wales","X20112012",121
35,"New South Wales","X20122013",25
35,"New South Wales","X20132014",5
35,"New South Wales","X20142015",21
35,"New South Wales","X20152016",18
35,"New South Wales","X20162017",1
35,"New South Wales","X20172018",8
35,"New South Wales","X20182019",32
35,"New South Wales","X20192020",13
36,"New South Wales","X20022003",0.1
36,"New South Wales","X20032004",34
36,"New South Wales","X20042005",17
36,"New South Wales","X20052006",9
36,"New South Wales","X20062007",16
36,"New South Wales","X20072008",69
36,"New South Wales","X20082009",30
36,"New South Wales","X20092010",44
36,"New South Wales","X20102011",7
36,"New South Wales","X20112012",56
36,"New South Wales","X20122013",64
36,"New South Wales","X20132014",40
36,"New South Wales","X20142015",30
36,"New South Wales","X20152016",13
36,"New South Wales","X20162017",0.1
36,"New South Wales","X20172018",9
36,"New South Wales","X20182019",81
36,"New South Wales","X20192020",76
37,"New South Wales","X20022003",38
37,"New South Wales","X20032004",76
37,"New South Wales","X20042005",4
37,"New South Wales","X20052006",23
37,"New South Wales","X20062007",12
37,"New South Wales","X20072008",46
37,"New South Wales","X20082009",5
37,"New South Wales","X20092010",31
37,"New South Wales","X20102011",24
37,"New South Wales","X20112012",8
37,"New South Wales","X20122013",25
37,"New South Wales","X20132014",18
37,"New South Wales","X20142015",49
37,"New South Wales","X20152016",19
37,"New South Wales","X20162017",1
37,"New South Wales","X20172018",39
37,"New South Wales","X20182019",35
37,"New South Wales","X20192020",101
38,"New South Wales","X20022003",1
38,"New South Wales","X20032004",47
38,"New South Wales","X20042005",20
38,"New South Wales","X20052006",9
38,"New South Wales","X20062007",60
38,"New South Wales","X20072008",104
38,"New South Wales","X20082009",8
38,"New South Wales","X20092010",27
38,"New South Wales","X20102011",6
38,"New South Wales","X20112012",9
38,"New South Wales","X20122013",67
38,"New South Wales","X20132014",43
38,"New South Wales","X20142015",17
38,"New South Wales","X20152016",12
38,"New South Wales","X20162017",2
38,"New South Wales","X20172018",49
38,"New South Wales","X20182019",65
38,"New South Wales","X20192020",55
39,"New South Wales","X20022003",72
39,"New South Wales","X20032004",45
39,"New South Wales","X20042005",25
39,"New South Wales","X20052006",66
39,"New South Wales","X20062007",45
39,"New South Wales","X20072008",64
39,"New South Wales","X20082009",19
39,"New South Wales","X20092010",45
39,"New South Wales","X20102011",31
39,"New South Wales","X20112012",8
39,"New South Wales","X20122013",90
39,"New South Wales","X20132014",17
39,"New South Wales","X20142015",52
39,"New South Wales","X20152016",20
39,"New South Wales","X20162017",14
39,"New South Wales","X20172018",49
39,"New South Wales","X20182019",68
39,"New South Wales","X20192020",72
40,"New South Wales","X20022003",70
40,"New South Wales","X20032004",57
40,"New South Wales","X20042005",14
40,"New South Wales","X20052006",27
40,"New South Wales","X20062007",80
40,"New South Wales","X20072008",132
40,"New South Wales","X20082009",9
40,"New South Wales","X20092010",19
40,"New South Wales","X20102011",22
40,"New South Wales","X20112012",10
40,"New South Wales","X20122013",67
40,"New South Wales","X20132014",39
40,"New South Wales","X20142015",11
40,"New South Wales","X20152016",19
40,"New South Wales","X20162017",26
40,"New South Wales","X20172018",84
40,"New South Wales","X20182019",60
40,"New South Wales","X20192020",100
41,"New South Wales","X20022003",74
41,"New South Wales","X20032004",47
41,"New South Wales","X20042005",27
41,"New South Wales","X20052006",112
41,"New South Wales","X20062007",57
41,"New South Wales","X20072008",215
41,"New South Wales","X20082009",27
41,"New South Wales","X20092010",38
41,"New South Wales","X20102011",0.1
41,"New South Wales","X20112012",11
41,"New South Wales","X20122013",10
41,"New South Wales","X20132014",46
41,"New South Wales","X20142015",37
41,"New South Wales","X20152016",30
41,"New South Wales","X20162017",15
41,"New South Wales","X20172018",65
41,"New South Wales","X20182019",70
41,"New South Wales","X20192020",180
42,"New South Wales","X20022003",106
42,"New South Wales","X20032004",3
42,"New South Wales","X20042005",17
42,"New South Wales","X20052006",50
42,"New South Wales","X20062007",78
42,"New South Wales","X20072008",166
42,"New South Wales","X20082009",4
42,"New South Wales","X20092010",23
42,"New South Wales","X20102011",3
42,"New South Wales","X20112012",4
42,"New South Wales","X20122013",27
42,"New South Wales","X20132014",30
42,"New South Wales","X20142015",36
42,"New South Wales","X20152016",39
42,"New South Wales","X20162017",22
42,"New South Wales","X20172018",80
42,"New South Wales","X20182019",40
42,"New South Wales","X20192020",166
43,"New South Wales","X20022003",103
43,"New South Wales","X20032004",14
43,"New South Wales","X20042005",63
43,"New South Wales","X20052006",11
43,"New South Wales","X20062007",34
43,"New South Wales","X20072008",107
43,"New South Wales","X20082009",36
43,"New South Wales","X20092010",33
