"Date","name","value","DateNum"
"2019-08-20","WARKWORTH",38,19
"2019-08-20","CAMDEN",37,19
"2019-08-20","NARRABRI",20,19
"2019-08-20","GUNNEDAH",37,19
"2019-08-20","ARMIDALE",29,19
"2019-08-20","ORANGE",9,19
"2019-08-20","GOULBURN",-1,19
"2019-08-21","RANDWICK",34,20
"2019-08-21","LIVERPOOL",38,20
"2019-08-21","BRINGELLY",36,20
"2019-08-21","CHULLORA",32,20
"2019-08-21","EARLWOOD",35,20
"2019-08-21","WYONG",37,20
"2019-08-21","CARRINGTON",41,20
"2019-08-21","STOCKTON",48,20
"2019-08-21","NEWCASTLE",36,20
"2019-08-21","BERESFIELD",48,20
"2019-08-21","TAMWORTH",38,20
"2019-08-21","WOLLONGONG",17,20
"2019-08-21","RICHMOND",37,20
"2019-08-21","BARGO",34,20
"2019-08-21","ALBURY",12,20
"2019-08-21","BATHURST",18,20
"2019-08-21","OAKDALE",38,20
"2019-08-21","PROSPECT",36,20
"2019-08-21","SINGLETON",75,20
"2019-08-21","CAMBERWELL",119,20
"2019-08-21","BULGA",33,20
"2019-08-21","WYBONG",25,20
"2019-08-21","ABERDEEN",28,20
"2019-08-21","WARKWORTH",47,20
"2019-08-21","CAMDEN",36,20
"2019-08-21","NARRABRI",25,20
"2019-08-21","GUNNEDAH",44,20
"2019-08-21","ARMIDALE",34,20
"2019-08-21","ORANGE",17,20
"2019-08-21","GOULBURN",-1,20
"2019-08-22","RANDWICK",49,21
"2019-08-22","LIVERPOOL",45,21
"2019-08-22","BRINGELLY",36,21
"2019-08-22","CHULLORA",46,21
"2019-08-22","EARLWOOD",41,21
"2019-08-22","WYONG",47,21
"2019-08-22","CARRINGTON",65,21
"2019-08-22","STOCKTON",62,21
"2019-08-22","NEWCASTLE",64,21
"2019-08-22","BERESFIELD",56,21
"2019-08-22","TAMWORTH",41,21
"2019-08-22","WOLLONGONG",51,21
"2019-08-22","RICHMOND",53,21
"2019-08-22","BARGO",45,21
"2019-08-22","ALBURY",20,21
"2019-08-22","BATHURST",20,21
"2019-08-22","OAKDALE",39,21
"2019-08-22","PROSPECT",43,21
"2019-08-22","SINGLETON",56,21
"2019-08-22","CAMBERWELL",73,21
"2019-08-22","BULGA",34,21
"2019-08-22","WYBONG",37,21
"2019-08-22","ABERDEEN",36,21
"2019-08-22","WARKWORTH",64,21
"2019-08-22","CAMDEN",38,21
"2019-08-22","NARRABRI",50,21
"2019-08-22","GUNNEDAH",36,21
"2019-08-22","ARMIDALE",135,21
"2019-08-22","ORANGE",16,21
"2019-08-22","GOULBURN",-1,21
"2019-08-23","RANDWICK",57,22
"2019-08-23","LIVERPOOL",69,22
"2019-08-23","BRINGELLY",58,22
"2019-08-23","CHULLORA",52,22
"2019-08-23","EARLWOOD",50,22
"2019-08-23","WYONG",54,22
"2019-08-23","CARRINGTON",71,22
"2019-08-23","STOCKTON",87,22
"2019-08-23","NEWCASTLE",67,22
"2019-08-23","BERESFIELD",59,22
"2019-08-23","TAMWORTH",69,22
"2019-08-23","WOLLONGONG",50,22
"2019-08-23","RICHMOND",53,22
"2019-08-23","BARGO",39,22
"2019-08-23","ALBURY",41,22
"2019-08-23","BATHURST",32,22
"2019-08-23","OAKDALE",45,22
"2019-08-23","PROSPECT",77,22
"2019-08-23","SINGLETON",61,22
"2019-08-23","CAMBERWELL",74,22
"2019-08-23","BULGA",58,22
"2019-08-23","WYBONG",61,22
"2019-08-23","ABERDEEN",103,22
"2019-08-23","WARKWORTH",50,22
"2019-08-23","CAMDEN",45,22
"2019-08-23","NARRABRI",42,22
"2019-08-23","GUNNEDAH",60,22
"2019-08-23","ARMIDALE",130,22
"2019-08-23","ORANGE",116,22
"2019-08-23","GOULBURN",-1,22
"2019-08-24","RANDWICK",59,23
"2019-08-24","LIVERPOOL",77,23
"2019-08-24","BRINGELLY",51,23
"2019-08-24","CHULLORA",55,23
"2019-08-24","EARLWOOD",55,23
"2019-08-24","WYONG",60,23
"2019-08-24","CARRINGTON",91,23
"2019-08-24","STOCKTON",96,23
"2019-08-24","NEWCASTLE",78,23
"2019-08-24","BERESFIELD",75,23
"2019-08-24","TAMWORTH",67,23
"2019-08-24","WOLLONGONG",37,23
"2019-08-24","RICHMOND",53,23
"2019-08-24","BARGO",51,23
"2019-08-24","ALBURY",44,23
"2019-08-24","BATHURST",56,23
"2019-08-24","OAKDALE",47,23
"2019-08-24","PROSPECT",60,23
"2019-08-24","SINGLETON",86,23
"2019-08-24","CAMBERWELL",147,23
"2019-08-24","BULGA",54,23
"2019-08-24","WYBONG",51,23
"2019-08-24","ABERDEEN",62,23
"2019-08-24","WARKWORTH",70,23
"2019-08-24","CAMDEN",45,23
"2019-08-24","NARRABRI",42,23
"2019-08-24","GUNNEDAH",65,23
"2019-08-24","ARMIDALE",137,23
"2019-08-24","ORANGE",157,23
"2019-08-24","GOULBURN",-1,23
"2019-08-25","RANDWICK",53,24
"2019-08-25","LIVERPOOL",64,24
